:ID,:LABEL,name
Q22328943,Cellular Component,alpha-heterochromatin
Q22328947,Cellular Component,apoplast
Q22328949,Cellular Component,viral occlusion body
Q22328988,Cellular Component,membrane stack
Q22328990,Cellular Component,autolysosome
Q22329000,Cellular Component,post-lysosomal vacuole
Q22329004,Cellular Component,apical cytoplasm
Q22329023,Cellular Component,mononeme
Q22329027,Cellular Component,pericanalicular vesicle
Q22329045,Cellular Component,symbiosome
Q22329061,Cellular Component,apicoplast
Q22329073,Cellular Component,polytene chromosome
Q22329113,Cellular Component,chlamydospore septin filament array
Q22329114,Cellular Component,septin collar
Q22329126,Cellular Component,goblet cell theca
Q22329232,Cellular Component,axonemal outer doublet
Q22329255,Cellular Component,virogenic stroma
Q22329264,Cellular Component,host intracellular region
Q22329269,Cellular Component,host cell mitochondrial envelope
Q22329278,Cellular Component,host bacteroid-containing symbiosome
Q22329287,Cellular Component,host cell synaptic vesicle
Q22329295,Cellular Component,host cell smooth endoplasmic reticulum
Q22329296,Cellular Component,host cell cytosol
Q22329299,Cellular Component,host cell endoplasmic reticulum-Golgi intermediate compartment
Q22329314,Cellular Component,host cell nuclear matrix
Q22329321,Cellular Component,periarbuscular membrane
Q22329354,Cellular Component,host cell surface
Q22329372,Cellular Component,hippocampal mossy fiber
Q22329374,Cellular Component,Lewy neurite
Q22329388,Cellular Component,dendritic cell dendrite
Q22329413,Cellular Component,dendritic filopodium
Q22329415,Cellular Component,actin filament bundle of actin-based cell projection
Q22329423,Cellular Component,axon cytoplasm
Q22329424,Cellular Component,axon collateral
Q22329442,Cellular Component,classical Lewy body
Q22329451,Cellular Component,basolateral part of cell
Q22329483,Cellular Component,glial cytoplasmic inclusion
Q22329486,Cellular Component,skein-like inclusion
Q22329850,Cellular Component,icosahedral viral capsid, spike
Q22329852,Cellular Component,virus tail, shaft
Q22329854,Cellular Component,virus tail, sheath
Q22329862,Cellular Component,viral capsid, turret
Q22329870,Cellular Component,viral tegument
Q22329878,Cellular Component,T=1 icosahedral viral capsid
Q22329885,Cellular Component,T=13 icosahedral viral capsid
Q22330040,Cellular Component,Rad51B-Rad51C complex
Q22330042,Cellular Component,trans-synaptic protein complex
Q22330044,Cellular Component,ornithine carbamoyltransferase inhibitor complex
Q22330046,Cellular Component,TRC complex
Q22330070,Cellular Component,microvillar actin bundle
Q22330130,Cellular Component,left posteriolateral basal body
Q22330206,Cellular Component,bacterial-type flagellum basal body, proximal rod
Q22330207,Cellular Component,bacterial-type flagellum hook-filament junction
Q22330208,Cellular Component,septin band
Q22330210,Cellular Component,deep fiber
Q22330211,Cellular Component,actin fusion focus
Q22330222,Cellular Component,unicellular trichome branch
Q22330224,Cellular Component,subrhabdomeral cisterna
Q22330226,Cellular Component,somatic portion of tanycyte
Q22330232,Cellular Component,dinoflagellate apical groove
Q22330235,Cellular Component,lateral part of motile cell
Q22330270,Cellular Component,organellar chromatophore intermembrane space
Q22330315,Cellular Component,intermediate layer of spindle pole body
Q22330343,Cellular Component,omega speckle
Q22330370,Cellular Component,recombination nodule
Q22330371,Cellular Component,late recombination nodule
Q22330440,Cellular Component,endospore cortex
Q22330453,Cellular Component,sieve plate
Q22330455,Cellular Component,compound sieve plate
Q22330461,Cellular Component,perforation plate
Q24570668,Cellular Component,postsynaptic specialization of symmetric synapse
Q24570671,Cellular Component,amphisome membrane
Q24570684,Cellular Component,actin cytoskeleton of dendritic spine
Q24570687,Cellular Component,extrinsic component of postsynaptic endocytic zone
Q24570696,Cellular Component,extrinsic component of spine apparatus membrane
Q24576572,Cellular Component,presynaptic endosome membrane
Q24576582,Cellular Component,intrinsic component of postsynaptic membrane
Q24576583,Cellular Component,intrinsic component of postsynaptic specialization membrane
Q24576589,Cellular Component,intrinsic component of postsynaptic recycling endosome membrane
Q24629098,Cellular Component,symmetric, GABA-ergic, inhibitory synapse
Q24629103,Cellular Component,asymmetric, glutamatergic, excitatory synapse
Q24629253,Cellular Component,neuronal dense core vesicle
Q26253865,Cellular Component,integral component of presynaptic endocytic zone membrane
Q26253869,Cellular Component,anchored component of postsynaptic specialization membrane
Q26253870,Cellular Component,integral component of postsynaptic density membrane
Q26253880,Cellular Component,extrinsic component of postsynaptic endosome membrane
Q26253887,Cellular Component,integral component of postsynaptic recycling endosome membrane
Q26253888,Cellular Component,anchored component of postsynaptic recycling endosome membrane
Q26253891,Cellular Component,integral component of presynaptic endosome membrane
Q26253900,Cellular Component,perinuclear endoplasmic reticulum lumen
Q26481947,Cellular Component,endodeoxyribonuclease complex
Q27126305,Cellular Component,mitochondrion-derived vesicle
Q27312157,Cellular Component,interleukin-7 receptor complex
Q27312158,Cellular Component,interleukin-15 receptor complex
Q28598873,Cellular Component,intranuclear rod
Q28598905,Cellular Component,ciliary cap
Q29574295,Cellular Component,mCRD-mediated mRNA stability complex
Q29574390,Cellular Component,synaptic ribbon
Q30105925,Cellular Component,stereocilium shaft
Q30105926,Cellular Component,stereocilium base
Q31403913,Cellular Component,B-WICH complex
Q34358230,Cellular Component,spine synapse
Q34358244,Cellular Component,serotonergic synapse
Q34360120,Cellular Component,apicomedial cortex
Q34360453,Cellular Component,smooth endoplasmic reticulum cisterna
Q38261579,Cellular Component,TOC-TIC supercomplex I
Q41515249,Cellular Component,intrinsic component of postsynaptic specialization membrane of symmetric synapse
Q41515625,Cellular Component,vacuole-isolation membrane contact site
Q42897079,Cellular Component,enzyme activator complex
Q42897155,Cellular Component,mitochondrial iron-sulfur cluster assembly complex
Q42897392,Cellular Component,procentriole
Q47009935,Cellular Component,postsynaptic spectrin-associated cytoskeleton
Q47009964,Cellular Component,basal proximal dendrite
Q48018229,Cellular Component,nuclear membrane microtubule tethering complex
Q50352641,Cellular Component,m7G(5')pppN diphosphatase complex
Q52084539,Cellular Component,pathogen-containing vacuole
Q52084561,Cellular Component,pathogen-containing vacuole lumen
Q54810466,Cellular Component,fungal biofilm matrix
Q54810588,Cellular Component,reservosome
Q54810589,Cellular Component,reservosome lumen
Q63165756,Cellular Component,phagolysosome vesicle membrane
Q63771491,Cellular Component,rod photoreceptor outer segment
Q64040968,Cellular Component,plastoglobulus
Q66986245,Cellular Component,rod telodendria
Q70535539,Cellular Component,low-density lipoprotein receptor complex
Q70552229,Cellular Component,galectin lattice
Q26868,Cellular Component,collagen trimer
Q30679,Cellular Component,nuclear pore
Q165963,Cellular Component,plastid
Q178999,Cellular Component,axon
Q180436,Cellular Component,cilium
Q189094,Cellular Component,cell surface
Q350858,Cellular Component,synaptic cleft
Q418432,Cellular Component,anaphase-promoting complex
Q421987,Cellular Component,intermediate filament
Q423126,Cellular Component,chylomicron
Q465608,Cellular Component,nuclear membrane
Q776995,Cellular Component,neuromuscular junction
Q831709,Cellular Component,chromoplast
Q903634,Cellular Component,extracellular exosome
Q904514,Cellular Component,focal adhesion
Q906755,Cellular Component,nuclear matrix
